iter	Passed	Remaining
0	18	12982
1	23	8055
2	33	7625
3	47	8134
4	61	8484
5	75	8687
6	90	8876
7	105	9006
8	131	9964
9	153	10456
10	180	11185
11	201	11425
12	216	11301
13	241	11671
14	266	12008
15	290	12286
16	315	12539
17	338	12682
18	364	12908
19	391	13153
20	417	13331
21	448	13643
22	479	13945
23	508	14147
24	535	14282
25	562	14405
26	589	14516
27	616	14608
28	644	14727
29	670	14806
30	697	14869
31	717	14795
32	744	14857
33	770	14917
34	802	15072
35	828	15088
36	855	15143
37	881	15176
38	908	15205
39	941	15339
40	971	15432
41	997	15437
42	1024	15462
43	1050	15467
44	1075	15465
45	1101	15474
46	1122	15401
47	1148	15412
48	1175	15425
49	1197	15373
50	1220	15344
51	1247	15354
52	1271	15335
53	1297	15326
54	1317	15260
55	1358	15423
56	1384	15423
57	1409	15405
58	1434	15392
59	1458	15358
60	1482	15338
61	1511	15360
62	1535	15325
63	1564	15348
64	1590	15344
65	1620	15368
66	1650	15397
67	1677	15394
68	1697	15328
69	1744	15501
70	1769	15476
71	1791	15430
72	1815	15395
73	1839	15362
74	1863	15327
75	1887	15296
76	1912	15271
77	1938	15256
78	1964	15241
79	1989	15220
80	2012	15182
81	2037	15159
82	2071	15199
83	2091	15135
84	2116	15114
85	2141	15092
86	2167	15074
87	2193	15055
88	2219	15035
89	2245	15016
90	2270	14997
91	2295	14969
92	2320	14948
93	2347	14932
94	2367	14879
95	2392	14853
96	2419	14843
97	2447	14832
98	2472	14811
99	2498	14789
100	2513	14706
101	2538	14683
102	2559	14633
